start_elapsed,end_elapsed,mid_event_time,duration_minutes,post_break,spurs_points,knicks_points,spurs_ppm,knicks_ppm
27.333333333333336,27.833333333333336,1.25,0.5,1,0,3,0.0,6.0
27.833333333333336,28.333333333333336,1.75,0.5,1,0,0,0.0,0.0
28.333333333333336,28.833333333333336,2.25,0.5,1,0,0,0.0,0.0
28.833333333333336,29.333333333333336,2.75,0.5,1,0,3,0.0,6.0
29.333333333333336,29.833333333333336,3.25,0.5,1,0,0,0.0,0.0
29.833333333333336,30.333333333333336,3.75,0.5,1,0,0,0.0,0.0
30.333333333333336,30.833333333333336,4.25,0.5,1,0,3,0.0,6.0
30.833333333333336,31.333333333333336,4.75,0.5,1,0,0,0.0,0.0
31.333333333333336,31.833333333333336,5.25,0.5,1,4,0,8.0,0.0
31.833333333333336,32.333333333333336,5.75,0.5,1,0,3,0.0,6.0
32.333333333333336,32.833333333333336,6.25,0.5,1,2,2,4.0,4.0
32.833333333333336,33.333333333333336,6.75,0.5,1,0,2,0.0,4.0
33.333333333333336,33.833333333333336,7.25,0.5,1,0,0,0.0,0.0
33.833333333333336,34.333333333333336,7.75,0.5,1,3,0,6.0,0.0
34.333333333333336,34.833333333333336,8.25,0.5,1,0,0,0.0,0.0
34.833333333333336,35.333333333333336,8.75,0.5,1,0,3,0.0,6.0
35.333333333333336,35.833333333333336,9.25,0.5,1,0,0,0.0,0.0
35.833333333333336,36.333333333333336,9.75,0.5,1,0,0,0.0,0.0
36.333333333333336,36.833333333333336,10.25,0.5,1,2,0,4.0,0.0
36.833333333333336,37.333333333333336,10.75,0.5,1,0,0,0.0,0.0
37.333333333333336,37.833333333333336,11.25,0.5,1,1,0,2.0,0.0
37.833333333333336,38.333333333333336,11.75,0.5,1,0,0,0.0,0.0
38.333333333333336,38.833333333333336,12.25,0.5,1,2,3,4.0,6.0
38.833333333333336,39.333333333333336,12.75,0.5,1,0,2,0.0,4.0
39.333333333333336,39.833333333333336,13.25,0.5,1,0,0,0.0,0.0
